Size, Type, Time
62500000, "Parallel", 8.868082
62500000, "Built-in", 9.527845
57500000, "Sequential", 6.262891
57500000, "Parallel", 8.145583
57500000, "Built-in", 8.680927
25000000, "Sequential", 2.601177
25000000, "Parallel", 3.553123
25000000, "Built-in", 3.491362
27500000, "Sequential", 2.870592
27500000, "Parallel", 4.132093
27500000, "Built-in", 3.897115
20000000, "Sequential", 2.068777
20000000, "Parallel", 2.972906
20000000, "Built-in", 2.778439
20000000, "Sequential", 2.058896
20000000, "Parallel", 3.025904
20000000, "Built-in", 2.794560
50000000, "Sequential", 5.426620
50000000, "Parallel", 7.320156
50000000, "Built-in", 7.403168
47500000, "Sequential", 5.114223
47500000, "Parallel", 6.353914
47500000, "Built-in", 7.187999
30000000, "Sequential", 3.200173
30000000, "Parallel", 4.423726
30000000, "Built-in", 4.341968
40000000, "Sequential", 4.534991
40000000, "Parallel", 6.011070
40000000, "Built-in", 6.127074
32500000, "Sequential", 3.459365
32500000, "Parallel", 4.581230
32500000, "Built-in", 4.821005
60000000, "Sequential", 6.729986
60000000, "Parallel", 8.750763
60000000, "Built-in", 9.286872
50000000, "Sequential", 5.537255
50000000, "Parallel", 7.507844
50000000, "Built-in", 7.708848
47500000, "Sequential", 5.267192
47500000, "Parallel", 6.955455
47500000, "Built-in", 7.343939
30000000, "Sequential", 3.196965
30000000, "Parallel", 4.390624
30000000, "Built-in", 4.394830
60000000, "Sequential", 6.763087
60000000, "Parallel", 9.269473
60000000, "Built-in", 9.275491
42500000, "Sequential", 4.633095
42500000, "Parallel", 6.501964
42500000, "Built-in", 6.479136
20000000, "Sequential", 2.095215
20000000, "Parallel", 2.942525
20000000, "Built-in", 2.845350
65000000, "Sequential", 7.355216
65000000, "Parallel", 9.395978
65000000, "Built-in", 9.935874
22500000, "Sequential", 2.459202
22500000, "Parallel", 3.229527
22500000, "Built-in", 3.327024
45000000, "Sequential", 4.866778
45000000, "Parallel", 6.691396
45000000, "Built-in", 6.723716
47500000, "Sequential", 5.228616
47500000, "Parallel", 6.981451
47500000, "Built-in", 7.198238
57500000, "Sequential", 6.410879
57500000, "Parallel", 8.229118
57500000, "Built-in", 8.971548
20000000, "Sequential", 2.131496
20000000, "Parallel", 3.037472
20000000, "Built-in", 2.892067
37500000, "Sequential", 4.122908
37500000, "Parallel", 5.598877
37500000, "Built-in", 5.709729
32500000, "Sequential", 3.502387
32500000, "Parallel", 4.915808
32500000, "Built-in", 4.727449
52500000, "Sequential", 5.775735
52500000, "Parallel", 7.465421
52500000, "Built-in", 8.211692
57500000, "Sequential", 6.462450
57500000, "Parallel", 7.599243
57500000, "Built-in", 9.162820
57500000, "Sequential", 6.367778
57500000, "Parallel", 8.773874
57500000, "Built-in", 9.220251
