Size, Type, Time
2000000, "Sequential", 0.180043
2000000, "Parallel", 0.327674
2000000, "Built-in", 0.240287
1000000, "Sequential", 0.085997
1000000, "Parallel", 0.155568
1000000, "Built-in", 0.120832
1000000, "Sequential", 0.088858
1000000, "Parallel", 0.167724
1000000, "Built-in", 0.111819
2000000, "Sequential", 0.179593
2000000, "Parallel", 0.311720
2000000, "Built-in", 0.240219
8000000, "Sequential", 0.772340
8000000, "Parallel", 1.178612
8000000, "Built-in", 1.042769
10000000, "Sequential", 0.984248
10000000, "Parallel", 1.477316
10000000, "Built-in", 1.317065
4000000, "Sequential", 0.375115
4000000, "Parallel", 0.607181
4000000, "Built-in", 0.498386
2000000, "Sequential", 0.181110
2000000, "Parallel", 0.311979
2000000, "Built-in", 0.240278
3000000, "Sequential", 0.280395
3000000, "Parallel", 0.454158
3000000, "Built-in", 0.370771
1000000, "Sequential", 0.085272
1000000, "Parallel", 0.161539
1000000, "Built-in", 0.119570
6000000, "Sequential", 0.573104
6000000, "Parallel", 0.905407
6000000, "Built-in", 0.765634
2000000, "Sequential", 0.178145
2000000, "Parallel", 0.294693
2000000, "Built-in", 0.243853
2000000, "Sequential", 0.187353
2000000, "Parallel", 0.293895
2000000, "Built-in", 0.241122
6000000, "Sequential", 0.577573
6000000, "Parallel", 0.870275
6000000, "Built-in", 0.761972
1000000, "Sequential", 0.087771
1000000, "Parallel", 0.150150
1000000, "Built-in", 0.121190
10000000, "Sequential", 0.990788
10000000, "Parallel", 1.406597
10000000, "Built-in", 1.316464
9000000, "Sequential", 0.879417
9000000, "Parallel", 1.356345
9000000, "Built-in", 1.176019
8000000, "Sequential", 0.777336
8000000, "Parallel", 1.191052
8000000, "Built-in", 1.040627
1000000, "Sequential", 0.085789
1000000, "Parallel", 0.164515
1000000, "Built-in", 0.121092
3000000, "Sequential", 0.276294
3000000, "Parallel", 0.446913
3000000, "Built-in", 0.366871
10000000, "Sequential", 0.998998
10000000, "Parallel", 1.390043
10000000, "Built-in", 1.320482
3000000, "Sequential", 0.274641
3000000, "Parallel", 0.442231
3000000, "Built-in", 0.365604
4000000, "Sequential", 0.375089
4000000, "Parallel", 0.592571
4000000, "Built-in", 0.495633
8000000, "Sequential", 0.771346
8000000, "Parallel", 1.190972
8000000, "Built-in", 1.035118
7000000, "Sequential", 0.676864
7000000, "Parallel", 1.047362
7000000, "Built-in", 0.902918
4000000, "Sequential", 0.378658
4000000, "Parallel", 0.538396
4000000, "Built-in", 0.497491
2000000, "Sequential", 0.183720
2000000, "Parallel", 0.310078
2000000, "Built-in", 0.238588
1000000, "Sequential", 0.091888
1000000, "Parallel", 0.151396
1000000, "Built-in", 0.121742
1000000, "Sequential", 0.087372
1000000, "Parallel", 0.145038
1000000, "Built-in", 0.119683
7000000, "Sequential", 0.675144
7000000, "Parallel", 1.009845
7000000, "Built-in", 0.897767
9000000, "Sequential", 0.884054
9000000, "Parallel", 1.267740
9000000, "Built-in", 1.183110
4000000, "Sequential", 0.373601
4000000, "Parallel", 0.593976
4000000, "Built-in", 0.496112
4000000, "Sequential", 0.374212
4000000, "Parallel", 0.601221
4000000, "Built-in", 0.499907
3000000, "Sequential", 0.275962
3000000, "Parallel", 0.449409
3000000, "Built-in", 0.365176
6000000, "Sequential", 0.575589
6000000, "Parallel", 0.875847
6000000, "Built-in", 0.758931
2000000, "Sequential", 0.179754
2000000, "Parallel", 0.307570
2000000, "Built-in", 0.245161
10000000, "Sequential", 0.984933
10000000, "Parallel", 1.455308
10000000, "Built-in", 1.316072
1000000, "Sequential", 0.087503
1000000, "Parallel", 0.152230
1000000, "Built-in", 0.112704
1000000, "Sequential", 0.089683
1000000, "Parallel", 0.161770
1000000, "Built-in", 0.116159
9000000, "Sequential", 0.881576
9000000, "Parallel", 1.321376
9000000, "Built-in", 1.184631
2000000, "Sequential", 0.180631
2000000, "Parallel", 0.306285
2000000, "Built-in", 0.239389
6000000, "Sequential", 0.577595
6000000, "Parallel", 0.887569
6000000, "Built-in", 0.775050
8000000, "Sequential", 0.779003
8000000, "Parallel", 1.134221
8000000, "Built-in", 1.039235
4000000, "Sequential", 0.370764
4000000, "Parallel", 0.593785
4000000, "Built-in", 0.498653
6000000, "Sequential", 0.574569
6000000, "Parallel", 0.887844
6000000, "Built-in", 0.761128
8000000, "Sequential", 0.782675
8000000, "Parallel", 1.176371
8000000, "Built-in", 1.041738
8000000, "Sequential", 0.799089
8000000, "Parallel", 1.172237
8000000, "Built-in", 1.036898
8000000, "Sequential", 0.776345
8000000, "Parallel", 1.155854
8000000, "Built-in", 1.039060
8000000, "Sequential", 0.782659
8000000, "Parallel", 1.121063
8000000, "Built-in", 1.045823
6000000, "Sequential", 0.582141
6000000, "Parallel", 0.873546
6000000, "Built-in", 0.760011
5000000, "Sequential", 0.478283
5000000, "Parallel", 0.756056
5000000, "Built-in", 0.637779
2000000, "Sequential", 0.182620
2000000, "Parallel", 0.284689
2000000, "Built-in", 0.240325
5000000, "Sequential", 0.479019
5000000, "Parallel", 0.755402
5000000, "Built-in", 0.635607
8000000, "Sequential", 0.776014
8000000, "Parallel", 1.183223
8000000, "Built-in", 1.034194
7000000, "Sequential", 0.668514
7000000, "Parallel", 1.042463
7000000, "Built-in", 0.898735
4000000, "Sequential", 0.378462
4000000, "Parallel", 0.600154
4000000, "Built-in", 0.513822
7000000, "Sequential", 0.680681
7000000, "Parallel", 0.989727
7000000, "Built-in", 0.906366
10000000, "Sequential", 0.989267
10000000, "Parallel", 1.505469
10000000, "Built-in", 1.320356
3000000, "Sequential", 0.278023
3000000, "Parallel", 0.450466
3000000, "Built-in", 0.365675
9000000, "Sequential", 0.883875
9000000, "Parallel", 1.351414
9000000, "Built-in", 1.179733
9000000, "Sequential", 0.886496
9000000, "Parallel", 1.393575
9000000, "Built-in", 1.184179
8000000, "Sequential", 0.781482
8000000, "Parallel", 1.169713
8000000, "Built-in", 1.041760
9000000, "Sequential", 0.874871
9000000, "Parallel", 1.306418
9000000, "Built-in", 1.177702
10000000, "Sequential", 0.996025
10000000, "Parallel", 1.496344
10000000, "Built-in", 1.309626
4000000, "Sequential", 0.375771
4000000, "Parallel", 0.588729
4000000, "Built-in", 0.495225
9000000, "Sequential", 0.887548
9000000, "Parallel", 1.226140
9000000, "Built-in", 1.181382
6000000, "Sequential", 0.574329
6000000, "Parallel", 0.898595
6000000, "Built-in", 0.764229
9000000, "Sequential", 0.882943
9000000, "Parallel", 1.318610
9000000, "Built-in", 1.190293
5000000, "Sequential", 0.474132
5000000, "Parallel", 0.764209
5000000, "Built-in", 0.628969
7000000, "Sequential", 0.672791
7000000, "Parallel", 1.017542
7000000, "Built-in", 0.899294
3000000, "Sequential", 0.277693
3000000, "Parallel", 0.457602
3000000, "Built-in", 0.375113
3000000, "Sequential", 0.276470
3000000, "Parallel", 0.435975
3000000, "Built-in", 0.370617
