Size, Type, Time
10000000, "Sequential", 0.985707
10000000, "Parallel", 1.457617
10000000, "Built-in", 1.317038
20000000, "Sequential", 2.043838
20000000, "Parallel", 2.860641
20000000, "Built-in", 2.759918
30000000, "Sequential", 3.156112
30000000, "Parallel", 4.338532
30000000, "Built-in", 4.240924
100000000, "Sequential", 11.121486
100000000, "Parallel", 13.905309
100000000, "Built-in", 15.329647
40000000, "Sequential", 4.238595
40000000, "Parallel", 5.703981
40000000, "Built-in", 5.725934
30000000, "Sequential", 3.129406
30000000, "Parallel", 4.373737
30000000, "Built-in", 4.211665
30000000, "Sequential", 3.121909
30000000, "Parallel", 4.307278
30000000, "Built-in", 4.363856
30000000, "Sequential", 3.186019
30000000, "Parallel", 4.473879
30000000, "Built-in", 4.255327
60000000, "Sequential", 6.579336
60000000, "Parallel", 8.831298
60000000, "Built-in", 9.280418
50000000, "Sequential", 5.395644
50000000, "Parallel", 7.309356
50000000, "Built-in", 7.338747
20000000, "Sequential", 2.063400
20000000, "Parallel", 2.826233
20000000, "Built-in", 2.766586
90000000, "Sequential", 10.133346
90000000, "Parallel", 13.091097
90000000, "Built-in", 14.632928
20000000, "Sequential", 2.076035
20000000, "Parallel", 3.031466
20000000, "Built-in", 2.778628
80000000, "Sequential", 9.368968
80000000, "Parallel", 11.225121
80000000, "Built-in", 12.675961
40000000, "Sequential", 4.242205
40000000, "Parallel", 5.542146
40000000, "Built-in", 5.750165
80000000, "Sequential", 8.835971
80000000, "Parallel", 11.879406
80000000, "Built-in", 12.296185
30000000, "Sequential", 3.218213
30000000, "Parallel", 4.357974
30000000, "Built-in", 4.446359
70000000, "Sequential", 7.758579
70000000, "Parallel", 9.979192
70000000, "Built-in", 10.564333
70000000, "Sequential", 7.708610
70000000, "Parallel", 10.489977
70000000, "Built-in", 10.657408
90000000, "Sequential", 10.071786
90000000, "Parallel", 13.313721
90000000, "Built-in", 13.960627
50000000, "Sequential", 5.379468
50000000, "Parallel", 7.000226
50000000, "Built-in", 7.274159
60000000, "Sequential", 6.547661
60000000, "Parallel", 8.153159
60000000, "Built-in", 8.983217
70000000, "Sequential", 7.715929
70000000, "Parallel", 10.028919
70000000, "Built-in", 10.648277
100000000, "Sequential", 11.157589
100000000, "Parallel", 14.756273
100000000, "Built-in", 15.574770
100000000, "Sequential", 11.193908
100000000, "Parallel", 15.060686
100000000, "Built-in", 15.732708
50000000, "Sequential", 5.414366
50000000, "Parallel", 7.356379
50000000, "Built-in", 7.370375
100000000, "Sequential", 11.081573
100000000, "Parallel", 14.309574
100000000, "Built-in", 15.664820
30000000, "Sequential", 3.149946
30000000, "Parallel", 4.118779
30000000, "Built-in", 4.252919
20000000, "Sequential", 2.064447
20000000, "Parallel", 2.947692
20000000, "Built-in", 2.748801
30000000, "Sequential", 3.153945
30000000, "Parallel", 4.253617
30000000, "Built-in", 4.251035
90000000, "Sequential", 10.100897
90000000, "Parallel", 13.442658
90000000, "Built-in", 14.018224
80000000, "Sequential", 8.871673
80000000, "Parallel", 11.959222
80000000, "Built-in", 12.375841
70000000, "Sequential", 7.650889
70000000, "Parallel", 9.741688
70000000, "Built-in", 10.715986
10000000, "Sequential", 1.000979
10000000, "Parallel", 1.508250
10000000, "Built-in", 1.329745
10000000, "Sequential", 0.977951
10000000, "Parallel", 1.456094
10000000, "Built-in", 1.312781
80000000, "Sequential", 8.723045
80000000, "Parallel", 11.930074
80000000, "Built-in", 12.301341
90000000, "Sequential", 9.985192
90000000, "Parallel", 12.188759
90000000, "Built-in", 13.850751
70000000, "Sequential", 7.620521
70000000, "Parallel", 9.472845
70000000, "Built-in", 10.634364
60000000, "Sequential", 6.489297
60000000, "Parallel", 8.363673
60000000, "Built-in", 8.934900
90000000, "Sequential", 10.019718
90000000, "Parallel", 13.474944
90000000, "Built-in", 13.967262
90000000, "Sequential", 10.094637
90000000, "Parallel", 12.978607
90000000, "Built-in", 13.924751
80000000, "Sequential", 8.769974
80000000, "Parallel", 11.512103
80000000, "Built-in", 12.280123
80000000, "Sequential", 8.887273
80000000, "Parallel", 11.513843
80000000, "Built-in", 12.238728
10000000, "Sequential", 1.003992
10000000, "Parallel", 1.508599
10000000, "Built-in", 1.332771
60000000, "Sequential", 6.528492
60000000, "Parallel", 8.748159
60000000, "Built-in", 8.959241
90000000, "Sequential", 10.132045
90000000, "Parallel", 13.358482
90000000, "Built-in", 13.933993
90000000, "Sequential", 10.181100
90000000, "Parallel", 13.033109
90000000, "Built-in", 14.039384
80000000, "Sequential", 8.771474
80000000, "Parallel", 11.542751
80000000, "Built-in", 12.205161
10000000, "Sequential", 0.989026
10000000, "Parallel", 1.470752
10000000, "Built-in", 1.332851
30000000, "Sequential", 3.166672
30000000, "Parallel", 4.506299
30000000, "Built-in", 4.258275
100000000, "Sequential", 11.059397
100000000, "Parallel", 14.058795
100000000, "Built-in", 15.645803
30000000, "Sequential", 3.159487
30000000, "Parallel", 4.310539
30000000, "Built-in", 4.273563
50000000, "Sequential", 5.460651
50000000, "Parallel", 7.371096
50000000, "Built-in", 7.341290
80000000, "Sequential", 8.882065
80000000, "Parallel", 12.023273
80000000, "Built-in", 12.247094
50000000, "Sequential", 5.318231
50000000, "Parallel", 7.073342
50000000, "Built-in", 7.263420
50000000, "Sequential", 5.334031
50000000, "Parallel", 7.276762
50000000, "Built-in", 7.277898
20000000, "Sequential", 2.066252
20000000, "Parallel", 2.920500
20000000, "Built-in", 2.752525
70000000, "Sequential", 7.680015
70000000, "Parallel", 10.272262
70000000, "Built-in", 10.661741
80000000, "Sequential", 8.740930
80000000, "Parallel", 11.424255
80000000, "Built-in", 12.280789
70000000, "Sequential", 7.718558
70000000, "Parallel", 9.881383
70000000, "Built-in", 10.642969
20000000, "Sequential", 2.063542
20000000, "Parallel", 2.953905
20000000, "Built-in", 2.752606
30000000, "Sequential", 3.174974
30000000, "Parallel", 4.438373
30000000, "Built-in", 4.369554
80000000, "Sequential", 8.976523
80000000, "Parallel", 10.946033
80000000, "Built-in", 12.451534
40000000, "Sequential", 4.319250
40000000, "Parallel", 6.015323
40000000, "Built-in", 5.849699
10000000, "Sequential", 1.014255
10000000, "Parallel", 1.426402
10000000, "Built-in", 1.360003
80000000, "Sequential", 9.371606
80000000, "Parallel", 11.478786
80000000, "Built-in", 12.606593
40000000, "Sequential", 4.348497
40000000, "Parallel", 5.763793
40000000, "Built-in", 5.798440
60000000, "Sequential", 6.639440
60000000, "Parallel", 8.827889
60000000, "Built-in", 9.080020
20000000, "Sequential", 2.056708
20000000, "Parallel", 2.940684
20000000, "Built-in", 2.823938
30000000, "Sequential", 3.205601
30000000, "Parallel", 4.192988
30000000, "Built-in", 4.349497
60000000, "Sequential", 6.527480
60000000, "Parallel", 8.646220
60000000, "Built-in", 9.062910
60000000, "Sequential", 6.586139
60000000, "Parallel", 8.476290
60000000, "Built-in", 9.210151
70000000, "Sequential", 7.868056
70000000, "Parallel", 10.045578
70000000, "Built-in", 10.734621
90000000, "Sequential", 9.918011
90000000, "Parallel", 13.144582
90000000, "Built-in", 14.263167
50000000, "Sequential", 5.435556
50000000, "Parallel", 7.506943
50000000, "Built-in", 7.389981
20000000, "Sequential", 2.050431
20000000, "Parallel", 2.915325
20000000, "Built-in", 2.758221
30000000, "Sequential", 3.197587
30000000, "Parallel", 4.384315
30000000, "Built-in", 4.284644
20000000, "Sequential", 2.059609
20000000, "Parallel", 2.937432
20000000, "Built-in", 2.831431
100000000, "Sequential", 11.411398
100000000, "Parallel", 13.405100
100000000, "Built-in", 15.691529
40000000, "Sequential", 4.234083
40000000, "Parallel", 5.761020
40000000, "Built-in", 5.780947
100000000, "Sequential", 11.441133
100000000, "Parallel", 14.356855
100000000, "Built-in", 15.812829
30000000, "Sequential", 3.163622
30000000, "Parallel", 4.372331
30000000, "Built-in", 4.318234
10000000, "Sequential", 1.004511
10000000, "Parallel", 1.511808
10000000, "Built-in", 1.354804
100000000, "Sequential", 11.255803
100000000, "Parallel", 14.737117
100000000, "Built-in", 15.792165
20000000, "Sequential", 2.068193
20000000, "Parallel", 3.014371
20000000, "Built-in", 2.808496
10000000, "Sequential", 0.989032
10000000, "Parallel", 1.521848
10000000, "Built-in", 1.343837
100000000, "Sequential", 11.123264
100000000, "Parallel", 14.436161
100000000, "Built-in", 15.574138
90000000, "Sequential", 10.038004
90000000, "Parallel", 12.554656
90000000, "Built-in", 14.084846
20000000, "Sequential", 2.044617
20000000, "Parallel", 3.047504
20000000, "Built-in", 2.754909
20000000, "Sequential", 2.058938
20000000, "Parallel", 2.921783
20000000, "Built-in", 2.802463
50000000, "Sequential", 5.437586
50000000, "Parallel", 7.403228
50000000, "Built-in", 7.383665
100000000, "Sequential", 11.312191
100000000, "Parallel", 14.495548
100000000, "Built-in", 15.749043
60000000, "Sequential", 6.616886
60000000, "Parallel", 8.808451
60000000, "Built-in", 8.985604
40000000, "Sequential", 4.336753
40000000, "Parallel", 5.666627
40000000, "Built-in", 5.877604
70000000, "Sequential", 7.825405
70000000, "Parallel", 10.145864
70000000, "Built-in", 10.677558
50000000, "Sequential", 5.474417
50000000, "Parallel", 6.750749
50000000, "Built-in", 7.320450
60000000, "Sequential", 6.504912
60000000, "Parallel", 8.775726
60000000, "Built-in", 9.002804
40000000, "Sequential", 4.211846
40000000, "Parallel", 5.888242
40000000, "Built-in", 5.762562
40000000, "Sequential", 4.353807
40000000, "Parallel", 5.788637
40000000, "Built-in", 5.873246
50000000, "Sequential", 5.452065
50000000, "Parallel", 7.063199
50000000, "Built-in", 7.331845
100000000, "Sequential", 11.222766
100000000, "Parallel", 14.509655
100000000, "Built-in", 15.510749
100000000, "Sequential", 11.211872
100000000, "Parallel", 14.195103
100000000, "Built-in", 15.656423
80000000, "Sequential", 8.863260
80000000, "Parallel", 11.960426
80000000, "Built-in", 12.289993
70000000, "Sequential", 7.766481
70000000, "Parallel", 10.895230
70000000, "Built-in", 10.638962
90000000, "Sequential", 9.932532
90000000, "Parallel", 12.838844
90000000, "Built-in", 13.868327
40000000, "Sequential", 4.239130
40000000, "Parallel", 5.975414
40000000, "Built-in", 5.826052
50000000, "Sequential", 5.396752
50000000, "Parallel", 7.432217
50000000, "Built-in", 7.367557
100000000, "Sequential", 11.037828
100000000, "Parallel", 13.723308
100000000, "Built-in", 15.627922
60000000, "Sequential", 6.547572
60000000, "Parallel", 9.025186
60000000, "Built-in", 8.909286
80000000, "Sequential", 8.754005
80000000, "Parallel", 11.768849
80000000, "Built-in", 12.115402
70000000, "Sequential", 7.561565
70000000, "Parallel", 9.932209
70000000, "Built-in", 10.646618
90000000, "Sequential", 10.054901
90000000, "Parallel", 12.983058
90000000, "Built-in", 13.964710
30000000, "Sequential", 3.151749
30000000, "Parallel", 4.352320
30000000, "Built-in", 4.264245
60000000, "Sequential", 6.558558
60000000, "Parallel", 8.545368
60000000, "Built-in", 8.865818
70000000, "Sequential", 7.705199
70000000, "Parallel", 9.932230
70000000, "Built-in", 10.544298
90000000, "Sequential", 10.083421
90000000, "Parallel", 13.571907
90000000, "Built-in", 13.897326
