Size, Type, Time
90000000, "Sequential", 12.747344
90000000, "Parallel", 14.981413
90000000, "Built-in", 17.292631
80000000, "Sequential", 10.603800
80000000, "Parallel", 13.137534
80000000, "Built-in", 16.777830
70000000, "Sequential", 9.301598
70000000, "Parallel", 11.779204
70000000, "Built-in", 12.827768
100000000, "Sequential", 13.033129
100000000, "Parallel", 16.556355
100000000, "Built-in", 18.733513
90000000, "Sequential", 12.220230
90000000, "Parallel", 15.795535
90000000, "Built-in", 17.050240
70000000, "Sequential", 9.192769
70000000, "Parallel", 12.108658
70000000, "Built-in", 13.920977
80000000, "Sequential", 10.624304
80000000, "Parallel", 14.791677
80000000, "Built-in", 14.894069
40000000, "Sequential", 5.306952
40000000, "Parallel", 6.298889
40000000, "Built-in", 7.124078
100000000, "Sequential", 13.106345
100000000, "Parallel", 17.365601
100000000, "Built-in", 18.723587
100000000, "Sequential", 13.337444
100000000, "Parallel", 17.582120
100000000, "Built-in", 18.911123
40000000, "Sequential", 5.350412
40000000, "Parallel", 6.632222
40000000, "Built-in", 7.085392
60000000, "Sequential", 7.592914
60000000, "Parallel", 9.128740
60000000, "Built-in", 10.855769
20000000, "Sequential", 2.454449
20000000, "Parallel", 3.216829
20000000, "Built-in", 3.666073
90000000, "Sequential", 12.680895
90000000, "Parallel", 16.697825
90000000, "Built-in", 16.854126
10000000, "Sequential", 1.152095
10000000, "Parallel", 1.621769
10000000, "Built-in", 1.703331
60000000, "Sequential", 7.771802
60000000, "Parallel", 10.504903
60000000, "Built-in", 10.990013
70000000, "Sequential", 8.941975
70000000, "Parallel", 12.094154
70000000, "Built-in", 12.808638
60000000, "Sequential", 7.908866
60000000, "Parallel", 10.783141
60000000, "Built-in", 10.894533
100000000, "Sequential", 13.001454
100000000, "Parallel", 16.097419
100000000, "Built-in", 18.639032
30000000, "Sequential", 3.899211
30000000, "Parallel", 4.964183
30000000, "Built-in", 5.770879
40000000, "Sequential", 4.918676
40000000, "Parallel", 7.119243
40000000, "Built-in", 7.240008
10000000, "Sequential", 1.147201
10000000, "Parallel", 1.588867
10000000, "Built-in", 1.780297
50000000, "Sequential", 6.504779
50000000, "Parallel", 8.848727
50000000, "Built-in", 9.006620
20000000, "Sequential", 2.424679
20000000, "Parallel", 3.306451
20000000, "Built-in", 3.464910
30000000, "Sequential", 3.652548
30000000, "Parallel", 4.989527
30000000, "Built-in", 5.318573
50000000, "Sequential", 6.236348
50000000, "Parallel", 8.522540
50000000, "Built-in", 8.938247
90000000, "Sequential", 12.918926
90000000, "Parallel", 18.912338
90000000, "Built-in", 16.972637
40000000, "Sequential", 5.189786
40000000, "Parallel", 7.504438
40000000, "Built-in", 7.235500
40000000, "Sequential", 5.006107
40000000, "Parallel", 6.875148
40000000, "Built-in", 7.116105
70000000, "Sequential", 9.009937
70000000, "Parallel", 12.007736
70000000, "Built-in", 12.840518
20000000, "Sequential", 2.440159
20000000, "Parallel", 3.209021
20000000, "Built-in", 3.840996
20000000, "Sequential", 2.386435
20000000, "Parallel", 3.531836
20000000, "Built-in", 3.469825
20000000, "Sequential", 2.358658
20000000, "Parallel", 2.971536
20000000, "Built-in", 3.400767
30000000, "Sequential", 3.678883
30000000, "Parallel", 4.966865
30000000, "Built-in", 5.222391
80000000, "Sequential", 10.284473
80000000, "Parallel", 13.649156
80000000, "Built-in", 14.724527
70000000, "Sequential", 9.177040
70000000, "Parallel", 12.278353
70000000, "Built-in", 12.783092
50000000, "Sequential", 6.487117
50000000, "Parallel", 8.749177
50000000, "Built-in", 8.950589
80000000, "Sequential", 10.244038
80000000, "Parallel", 14.008020
80000000, "Built-in", 14.739292
50000000, "Sequential", 6.545151
50000000, "Parallel", 8.308325
50000000, "Built-in", 9.163806
50000000, "Sequential", 6.372623
50000000, "Parallel", 8.682881
50000000, "Built-in", 8.944180
80000000, "Sequential", 12.112748
80000000, "Parallel", 16.116864
80000000, "Built-in", 15.516356
10000000, "Sequential", 1.156590
10000000, "Parallel", 1.914471
10000000, "Built-in", 1.867084
20000000, "Sequential", 3.108437
20000000, "Parallel", 3.782454
20000000, "Built-in", 3.468490
20000000, "Sequential", 2.436844
20000000, "Parallel", 3.906256
20000000, "Built-in", 3.726146
60000000, "Sequential", 7.868725
60000000, "Parallel", 10.690822
60000000, "Built-in", 10.993467
90000000, "Sequential", 12.087738
90000000, "Parallel", 16.462464
90000000, "Built-in", 17.751699
80000000, "Sequential", 13.396265
80000000, "Parallel", 14.677714
80000000, "Built-in", 14.793850
10000000, "Sequential", 1.145181
10000000, "Parallel", 1.531907
10000000, "Built-in", 1.699353
30000000, "Sequential", 3.849989
30000000, "Parallel", 5.532649
30000000, "Built-in", 5.238661
30000000, "Sequential", 3.724200
30000000, "Parallel", 5.290959
30000000, "Built-in", 5.253885
80000000, "Sequential", 10.223766
80000000, "Parallel", 14.052941
80000000, "Built-in", 14.772484
60000000, "Sequential", 7.723804
60000000, "Parallel", 10.637516
60000000, "Built-in", 10.877084
80000000, "Sequential", 10.296864
80000000, "Parallel", 13.780798
80000000, "Built-in", 14.722760
40000000, "Sequential", 5.134718
40000000, "Parallel", 7.034289
40000000, "Built-in", 7.103391
60000000, "Sequential", 7.528040
60000000, "Parallel", 9.745904
60000000, "Built-in", 10.837989
